Place of Origin,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17,2017/18,2018/19,country_code
"South and Central Asia, Unspecified",0,28,0,0,0,0,0,0,0,0,
Southeast Asia,"43,817","46,020","46,063","47,152","48,004","50,865","54,688","56,088","58,111","57,554",
Brunei,43,66,69,61,60,73,59,53,53,50,
Cambodia,347,340,333,393,432,492,499,512,659,685,116
Indonesia,"6,943","6,942","7,131","7,670","7,920","8,188","8,727","8,776","8,650","8,356",360
Laos,64,49,43,50,57,63,63,91,104,96,
Malaysia,"6,190","6,735","6,743","6,791","6,822","7,231","7,834","8,247","8,271","7,709",458
Myanmar,695,796,807,955,"1,042","1,067","1,194","1,351","1,569","1,773",104
Philippines,"3,815","3,604","3,194","3,215","3,112","3,026","2,886","3,006","3,225","3,320",608
Singapore,"4,051","4,316","4,505","4,558","4,592","4,727","4,865","4,677","4,575","4,632",702
Thailand,"8,531","8,236","7,626","7,314","7,341","7,217","7,113","6,893","6,636","6,503",764
Timor-Leste/East Timor,26,48,40,47,47,59,45,44,44,38,
Vietnam,"13,112","14,888","15,572","16,098","16,579","18,722","21,403","22,438","24,325","24,392",704
"Southeast Asia, Unspecified",0,0,0,0,0,0,0,0,0,0,
EUROPE,"85,084","84,296","85,423","85,823","86,885","90,625","91,915","92,820","92,655","90,996",
Albania,790,697,659,649,636,670,705,781,884,993,008
Andorra,11,14,24,13,9,9,11,16,14,17,020
Armenia,374,350,363,345,272,304,270,280,313,328,051
Austria,994,"1,019",989,"1,036","1,062","1,114","1,141","1,111","1,148","1,098",040
Azerbaijan,409,440,460,388,383,408,391,386,426,489,031
Belarus,408,347,358,355,306,330,323,319,351,378,112
Belgium,845,904,880,894,948,"1,001","1,094","1,087","1,080","1,073",056
Bosnia and Herzegovina,404,356,341,364,319,296,309,303,290,300,070
Bulgaria,"2,495","1,957","1,694","1,473","1,252","1,171","1,016",929,826,757,100
Croatia,623,583,552,581,529,523,527,537,528,516,191
Cyprus,586,470,438,425,419,417,401,388,410,431,196
Czech Republic,828,765,701,776,736,796,749,772,763,820,
"Czechoslovakia, Former",,,,,,,,,,,
Denmark,989,"1,149","1,233","1,359","1,470","1,602","1,486","1,490","1,423","1,423",208
Estonia,220,228,241,218,212,288,191,179,186,184,233
Finland,663,639,640,691,656,669,714,737,768,716,246
France,"7,716","8,098","8,232","8,297","8,302","8,743","8,764","8,814","8,802","8,716",250
Georgia,448,460,481,456,496,541,543,558,597,574,268
Germany,"9,548","9,458","9,347","9,819","10,160","10,193","10,145","10,169","10,042","9,191",276
Gibraltar,18,2,4,4,2,6,4,15,6,16,292
Greece,"1,837","1,874","1,922","2,046","2,170","2,147","2,199","2,318","2,395","2,523",300
Hungary,664,670,655,690,667,720,773,730,716,793,348
Iceland,407,369,391,384,390,396,382,402,412,407,352
Ireland,"1,212","1,167","1,106","1,158","1,156","1,192","1,183","1,217","1,141","1,180",372
Italy,"4,072","4,308","4,284","4,276","4,443","4,863","5,155","5,593","5,789","6,114",380
Kosovo,88,121,114,106,112,170,268,244,229,159,
Latvia,286,324,308,295,266,276,281,244,236,244,428
Liechtenstein,8,5,14,7,8,8,8,8,9,8,438
Lithuania,361,338,288,284,287,293,315,333,327,318,440
Luxembourg,56,59,68,87,95,97,86,118,102,101,442
Macedonia,278,257,222,237,237,237,236,245,224,227,
Malta,32,19,41,51,52,29,23,25,34,38,470
Moldova,441,411,416,379,328,322,281,252,237,205,
Monaco,23,22,43,21,28,18,23,22,17,17,492
Montenegro,94,85,112,109,95,121,126,101,115,112,499
Netherlands,"1,830","1,833","1,975","1,948","2,074","2,257","2,445","2,551","2,701","2,681",528
Norway,"1,467","1,822","2,016","2,097","2,304","2,498","2,391","2,293","2,105","1,988",578
Poland,"2,264","1,852","1,838","1,581","1,520","1,493","1,460","1,489","1,477","1,526",616
Portugal,"1,015",981,970,949,877,915,919,929,937,973,620
Romania,"2,204","1,883","1,607","1,460","1,317","1,220","1,105","1,173","1,071","1,016",642
Russia,"4,827","4,692","4,805","4,898","5,138","5,562","5,444","5,412","5,518","5,292",643
San Marino,2,2,3,3,1,1,3,2,4,3,674
Serbia,"1,175","1,067","1,068","1,041",966,970,"1,023","1,055","1,079","1,098",688
Serbia & Montenegro,,,,,,,,,,,
Slovakia,466,419,424,362,356,359,343,348,347,349,703
Slovenia,192,178,171,227,188,245,256,245,250,256,705
Spain,"3,971","4,330","4,924","5,033","5,350","6,143","6,640","7,164","7,489","7,262",724
Sweden,"3,116","3,236","3,926","4,283","4,369","4,507","4,297","4,053","3,543","3,460",752
Switzerland,"1,284","1,287","1,362","1,420","1,441","1,461","1,480","1,487","1,382","1,367",756
Turkey,"12,397","12,184","11,973","11,278","10,821","10,724","10,691","10,586","10,520","10,159",792
"U.S.S.R., Former",,,,,,,,,,,
Ukraine,"1,727","1,583","1,535","1,490","1,464","1,551","1,680","1,817","1,928","1,953",804
United Kingdom,"8,861","8,947","9,186","9,467","10,191","10,743","11,599","11,489","11,460","11,146",826
Vatican City/Holy See,1,4,1,1,1,2,6,0,3,0,
"Yugoslavia, Former",57,,,,,,,,,,
"Europe, Unspecified",0,31,18,12,4,4,10,4,1,1,
LATIN AMERICA & CARIBBEAN,"66,061","64,564","64,410","66,864","72,318","86,378","84,908","79,655","79,920","80,962",
"Latin America & Caribbean, Unspecified",0,0,0,0,0,0,0,0,0,0,
Caribbean,"13,541","12,039","11,376","11,100","10,879","10,478","11,042","11,351","11,289","11,065",
Anguilla,65,43,29,15,21,15,18,14,15,19,660
Antigua and Barbuda,213,193,183,188,215,120,228,225,200,164,028
Aruba,72,94,67,69,74,68,89,73,90,71,533
Bahamas,"1,828","1,720","1,737","1,629","1,744","1,835","2,027","2,252","2,176","2,148",044
Barbados,360,332,267,293,285,278,319,319,322,333,052
Bermuda,429,395,389,406,388,387,319,315,296,280,060
British Virgin Islands,122,94,116,112,80,99,95,76,70,81,092
Cayman Islands,158,165,181,175,187,174,165,165,169,159,136
Cuba,88,62,57,76,69,94,153,119,152,163,192
Curacao,,,,4,76,75,117,118,128,122,
Dominica,301,256,261,237,191,166,238,271,371,227,212
Dominican Republic,"1,400","1,393","1,610","1,803","1,746","1,535","1,513","1,428","1,467","1,559",214
Grenada,231,189,261,225,189,145,186,194,170,133,308
Guadeloupe,14,14,15,11,18,11,11,9,10,8,312
Haiti,"1,012",888,889,934,942,934,946,958,948,967,332
Jamaica,"3,530","3,172","2,694","2,499","2,502","2,440","2,510","2,797","2,785","2,820",388
Martinique,8,8,3,4,7,3,9,9,12,11,474
Montserrat,15,8,2,3,1,1,4,3,3,7,500
Netherlands Antilles,244,201,155,194,,,,,,,
St. Kitts and Nevis,244,217,269,234,190,182,222,218,200,147,
St. Lucia,529,526,352,330,322,275,265,268,229,206,
St. Vincent and the Grenadines,124,105,95,98,105,75,89,83,83,92,
Sint Maarten,,,,,46,52,92,78,82,109,
Trinidad and Tobago,"2,402","1,882","1,689","1,532","1,440","1,464","1,381","1,304","1,257","1,202",780
Turks and Caicos,146,82,55,29,29,36,44,50,42,37,
"Caribbean, Unspecified",6,0,0,0,12,14,2,5,12,0,
Mexico and Central America,"19,956","20,361","20,432","21,072","22,276","24,709","24,983","25,158","24,002","23,998",
Belize,415,388,370,333,324,312,308,356,366,375,084
Costa Rica,"1,089","1,105","1,078","1,074","1,067","1,118","1,148","1,148","1,146","1,157",188
El Salvador,"1,208","1,157","1,151","1,172","1,233","1,460","1,632","1,570","1,554","1,566",222
Guatemala,992,"1,042","1,048","1,113","1,252","1,205","1,245","1,217","1,206","1,192",320
Honduras,"1,337","1,349","1,407","1,513","1,756","1,760","1,985","2,046","2,104","2,191",340
Mexico,"13,450","13,713","13,893","14,199","14,779","17,052","16,733","16,835","15,468","15,229",484
Nicaragua,383,434,363,434,437,418,395,398,409,443,558
Panama,"1,082","1,173","1,122","1,234","1,428","1,384","1,537","1,588","1,749","1,845",591
"Mexico and Central America, Unspecified",0,0,0,0,0,0,0,0,0,0,
South America,"32,564","32,164","32,602","34,692","39,163","51,191","48,883","43,146","44,629","45,899",
Argentina,"2,165","2,105","1,888","1,847","1,902","2,053","2,201","2,219","2,283","2,407",032
Bolivia,"1,039",977,"1,025","1,024","1,068","1,116","1,142","1,207","1,153","1,195",068
Brazil,"8,786","8,777","9,029","10,868","13,286","23,675","19,370","13,089","14,620","16,059",076
Chile,"2,055","2,164","2,203","2,349","2,432","2,513","2,630","2,523","2,528","2,699",152
Colombia,"6,920","6,456","6,295","6,543","7,083","7,169","7,815","7,982","7,976","8,060",170
Ecuador,"2,232","2,150","2,160","2,299","2,578","2,797","2,889","3,032","3,050","2,892",218
Falkland Islands,1,0,0,7,1,3,2,0,0,0,
French Guiana,2,28,1,4,2,11,7,1,3,7,254
Guyana,296,272,224,206,246,230,246,250,296,311,328
Paraguay,340,322,342,395,492,505,564,587,590,619,600
Peru,"3,279","2,939","2,702","2,539","2,607","2,763","3,256","3,200","3,235","3,409",604
Suriname,101,94,92,88,91,82,84,83,80,74,740
Uruguay,390,389,360,365,353,384,410,433,444,407,858
Venezuela,"4,958","5,491","6,281","6,158","7,022","7,890","8,267","8,540","8,371","7,760",862
"South America, Unspecified",0,0,0,0,0,0,0,0,0,0,
